PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 5686
Apogee: 2120' AGL
Ground Elevation: -145' MSL
NumSamps: 2424
Flight Number: 3
Main Setting: 700' AGL
Apogee Delay: 0 Seconds
Drogue At: 12.20 Seconds
Main At: 80.50 Seconds
Max Drogue Current: 8 Amps
Max Main Current: 6 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
96.55, 376, -19, 71.26, 8.30
96.60, 373, -19, 71.28, 8.30
96.65, 374, -18, 71.26, 8.30
96.70, 373, -18, 71.26, 8.30
96.75, 371, -18, 71.26, 8.30
96.80, 370, -18, 71.28, 8.30
96.85, 370, -18, 71.28, 8.30
96.90, 369, -18, 71.26, 8.30
96.95, 368, -18, 71.26, 8.30
97.00, 367, -18, 71.26, 8.30
97.05, 366, -18, 71.26, 8.30
97.10, 364, -18, 71.28, 8.20
97.15, 364, -18, 71.26, 8.20
97.20, 363, -18, 71.26, 8.30
97.25, 360, -18, 71.26, 8.30
97.30, 360, -18, 71.28, 8.30
97.35, 360, -18, 71.26, 8.30
97.40, 358, -18, 71.26, 8.30
97.45, 359, -18, 71.26, 8.30
97.50, 357, -18, 71.26, 8.30
97.55, 356, -18, 71.26, 8.30
97.60, 356, -18, 71.26, 8.30
97.65, 355, -18, 71.26, 8.30
97.70, 355, -18, 71.26, 8.30
97.75, 352, -18, 71.26, 8.30
97.80, 352, -19, 71.26, 8.30
97.85, 352, -19, 71.26, 8.30
97.90, 351, -19, 71.26, 8.30
97.95, 351, -19, 71.26, 8.30
98.00, 350, -19, 71.26, 8.30
98.05, 348, -19, 71.26, 8.30
98.10, 348, -19, 71.26, 8.30
98.15, 346, -19, 71.28, 8.20
98.20, 346, -19, 71.26, 8.30
98.25, 347, -18, 71.26, 8.30
98.30, 344, -18, 71.26, 8.30
98.35, 342, -18, 71.28, 8.30
98.40, 342, -18, 71.26, 8.30
98.45, 341, -19, 71.26, 8.30
98.50, 340, -19, 71.26, 8.20
98.55, 340, -19, 71.26, 8.30
98.60, 339, -19, 71.26, 8.30
98.65, 338, -19, 71.26, 8.20
98.70, 336, -19, 71.26, 8.30
98.75, 333, -19, 71.26, 8.30
98.80, 333, -19, 71.26, 8.30
98.85, 331, -19, 71.26, 8.30
98.90, 331, -19, 71.26, 8.20
98.95, 330, -19, 71.26, 8.30
99.00, 329, -20, 71.26, 8.30
99.05, 327, -20, 71.26, 8.30
99.10, 327, -20, 71.26, 8.30
99.15, 325, -21, 71.26, 8.30
99.20, 326, -21, 71.26, 8.30
99.25, 324, -21, 71.28, 8.30
99.30, 324, -21, 71.26, 8.30
99.35, 323, -21, 71.26, 8.30
99.40, 322, -21, 71.26, 8.30
99.45, 321, -21, 71.26, 8.30
99.50, 319, -22, 71.26, 8.20
99.55, 318, -22, 71.26, 8.20
99.60, 318, -22, 71.26, 8.30
99.65, 316, -22, 71.26, 8.30
99.70, 316, -22, 71.26, 8.30
99.75, 315, -21, 71.26, 8.20
99.80, 316, -21, 71.26, 8.30
99.85, 313, -21, 71.26, 8.20
99.90, 313, -21, 71.26, 8.30
99.95, 312, -21, 71.26, 8.30
100.00, 309, -21, 71.28, 8.30
100.05, 309, -21, 71.26, 8.30
100.10, 306, -21, 71.26, 8.20
100.15, 305, -21, 71.26, 8.30
100.20, 303, -21, 71.26, 8.20
100.25, 304, -21, 71.26, 8.30
100.30, 302, -21, 71.26, 8.30
100.35, 301, -20, 71.26, 8.30
100.40, 300, -20, 71.26, 8.30
100.45, 298, -20, 71.26, 8.30
100.50, 297, -20, 71.26, 8.30
100.55, 296, -20, 71.26, 8.20
100.60, 294, -20, 71.26, 8.30
100.65, 293, -20, 71.26, 8.20
100.70, 293, -20, 71.26, 8.30
100.75, 293, -21, 71.26, 8.30
100.80, 291, -21, 71.26, 8.30
100.85, 290, -21, 71.26, 8.30
100.90, 290, -21, 71.26, 8.30
100.95, 287, -21, 71.26, 8.30
101.00, 287, -21, 71.26, 8.30
101.05, 286, -21, 71.26, 8.30
101.10, 286, -21, 71.26, 8.30
101.15, 284, -21, 71.26, 8.30
101.20, 284, -21, 71.26, 8.30
101.25, 283, -21, 71.26, 8.30
101.30, 284, -21, 71.26, 8.30
101.35, 283, -21, 71.26, 8.30
101.40, 282, -21, 71.26, 8.30
101.45, 281, -21, 71.26, 8.30
101.50, 280, -21, 71.26, 8.30
101.55, 278, -21, 71.26, 8.30
101.60, 277, -21, 71.28, 8.30
101.65, 276, -21, 71.26, 8.30
101.70, 275, -21, 71.26, 8.30
101.75, 274, -21, 71.26, 8.30
101.80, 274, -21, 71.26, 8.30
101.85, 272, -21, 71.26, 8.20
101.90, 270, -21, 71.26, 8.20
101.95, 268, -21, 71.26, 8.30
102.00, 267, -21, 71.26, 8.30
102.05, 265, -21, 71.26, 8.30
102.10, 264, -21, 71.26, 8.30
102.15, 263, -22, 71.26, 8.30
102.20, 262, -22, 71.26, 8.30
102.25, 260, -22, 71.26, 8.30
102.30, 259, -22, 71.24, 8.30
102.35, 258, -22, 71.26, 8.30
102.40, 257, -22, 71.26, 8.30
102.45, 257, -22, 71.26, 8.30
102.50, 256, -22, 71.26, 8.20
102.55, 254, -22, 71.26, 8.30
102.60, 253, -22, 71.26, 8.30
102.65, 252, -22, 71.26, 8.30
102.70, 251, -22, 71.26, 8.20
102.75, 249, -22, 71.26, 8.20
102.80, 248, -22, 71.26, 8.30
102.85, 248, -22, 71.24, 8.30
102.90, 246, -21, 71.26, 8.30
102.95, 245, -21, 71.26, 8.30
103.00, 245, -21, 71.26, 8.30
103.05, 244, -20, 71.26, 8.30
103.10, 242, -20, 71.26, 8.30
103.15, 241, -20, 71.26, 8.30
103.20, 241, -20, 71.26, 8.30
103.25, 242, -20, 71.24, 8.20
103.30, 239, -20, 71.26, 8.30
103.35, 238, -20, 71.24, 8.30
103.40, 237, -21, 71.26, 8.30
103.45, 237, -21, 71.24, 8.30
103.50, 236, -21, 71.24, 8.30
103.55, 236, -21, 71.24, 8.30
103.60, 233, -21, 71.26, 8.20
103.65, 233, -21, 71.26, 8.30
103.70, 231, -21, 71.26, 8.30
103.75, 231, -21, 71.26, 8.30
103.80, 230, -21, 71.26, 8.30
103.85, 228, -21, 71.24, 8.30
103.90, 228, -21, 71.26, 8.20
103.95, 227, -21, 71.26, 8.30
104.00, 225, -21, 71.26, 8.30
104.05, 225, -21, 71.24, 8.30
104.10, 223, -22, 71.26, 8.30
104.15, 222, -22, 71.24, 8.30
104.20, 221, -22, 71.26, 8.30
104.25, 220, -22, 71.26, 8.30
104.30, 219, -22, 71.26, 8.30
104.35, 217, -22, 71.26, 8.30
104.40, 216, -22, 71.26, 8.30
104.45, 215, -22, 71.26, 8.30
104.50, 213, -22, 71.26, 8.30
104.55, 212, -22, 71.26, 8.30
104.60, 211, -22, 71.26, 8.30
104.65, 208, -22, 71.26, 8.30
104.70, 208, -22, 71.26, 8.30
104.75, 207, -22, 71.26, 8.30
104.80, 207, -22, 71.26, 8.30
104.85, 206, -22, 71.26, 8.30
104.90, 204, -22, 71.26, 8.30
104.95, 204, -22, 71.24, 8.30
105.00, 202, -22, 71.26, 8.30
105.05, 201, -22, 71.24, 8.30
105.10, 199, -22, 71.26, 8.30
105.15, 197, -22, 71.26, 8.20
105.20, 198, -22, 71.24, 8.20
105.25, 197, -22, 71.26, 8.30
105.30, 196, -22, 71.24, 8.30
105.35, 195, -22, 71.24, 8.30
105.40, 194, -22, 71.24, 8.30
105.45, 194, -22, 71.26, 8.30
105.50, 192, -22, 71.24, 8.30
105.55, 190, -21, 71.26, 8.30
105.60, 188, -21, 71.26, 8.30
105.65, 188, -21, 71.26, 8.30
105.70, 187, -21, 71.26, 8.30
105.75, 186, -21, 71.26, 8.30
105.80, 185, -22, 71.26, 8.30
105.85, 185, -22, 71.26, 8.20
105.90, 185, -22, 71.24, 8.30
105.95, 183, -22, 71.26, 8.30
106.00, 181, -22, 71.26, 8.30
106.05, 181, -22, 71.26, 8.30
106.10, 179, -21, 71.24, 8.30
106.15, 178, -21, 71.26, 8.30
106.20, 176, -22, 71.26, 8.30
106.25, 175, -22, 71.26, 8.30
106.30, 174, -22, 71.26, 8.20
106.35, 173, -22, 71.26, 8.20
106.40, 173, -22, 71.24, 8.30
106.45, 171, -22, 71.26, 8.30
106.50, 170, -21, 71.26, 8.30
106.55, 170, -21, 71.22, 8.30
106.60, 168, -21, 71.26, 8.30
106.65, 168, -21, 71.24, 8.20
106.70, 166, -21, 71.26, 8.30
106.75, 164, -21, 71.26, 8.30
106.80, 163, -21, 71.26, 8.30
106.85, 162, -21, 71.24, 8.30
106.90, 161, -21, 71.24, 8.30
106.95, 160, -21, 71.22, 8.30
107.00, 158, -21, 71.26, 8.30
107.05, 157, -21, 71.24, 8.30
107.10, 158, -21, 71.22, 8.30
107.15, 156, -21, 71.24, 8.30
107.20, 155, -21, 71.24, 8.30
107.25, 152, -20, 71.26, 8.30
107.30, 150, -20, 71.26, 8.30
107.35, 153, -20, 71.22, 8.30
107.40, 151, -20, 71.26, 8.30
107.45, 150, -20, 71.26, 8.30
107.50, 149, -20, 71.22, 8.30
107.55, 149, -20, 71.26, 8.30
107.60, 148, -20, 71.24, 8.30
107.65, 146, -20, 71.24, 8.30
107.70, 147, -20, 71.24, 8.20
107.75, 144, -20, 71.22, 8.30
107.80, 143, -20, 71.26, 8.30
107.85, 142, -19, 71.24, 8.20
107.90, 142, -19, 71.24, 8.30
107.95, 140, -19, 71.24, 8.30
108.00, 139, -19, 71.22, 8.30
108.05, 137, -19, 71.26, 8.20
108.10, 137, -19, 71.24, 8.30
108.15, 137, -19, 71.24, 8.30
108.20, 136, -19, 71.24, 8.30
108.25, 134, -19, 71.24, 8.30
108.30, 134, -19, 71.24, 8.30
108.35, 134, -19, 71.22, 8.30
108.40, 132, -20, 71.26, 8.30
108.45, 131, -20, 71.26, 8.30
108.50, 131, -20, 71.22, 8.30
108.55, 131, -20, 71.24, 8.30
108.60, 129, -21, 71.24, 8.30
108.65, 127, -21, 71.22, 8.30
108.70, 126, -20, 71.26, 8.30
108.75, 125, -20, 71.24, 8.30
108.80, 124, -20, 71.24, 8.20
108.85, 124, -20, 71.24, 8.30
108.90, 122, -20, 71.26, 8.20
108.95, 121, -20, 71.24, 8.30
109.00, 121, -20, 71.22, 8.30
109.05, 118, -20, 71.24, 8.30
109.10, 119, -20, 71.26, 8.30
109.15, 116, -20, 71.26, 8.30
109.20, 117, -20, 71.22, 8.20
109.25, 116, -20, 71.22, 8.30
109.30, 114, -20, 71.24, 8.30
109.35, 112, -20, 71.24, 8.30
109.40, 112, -20, 71.24, 8.30
109.45, 109, -20, 71.24, 8.30
109.50, 109, -20, 71.24, 8.30
109.55, 108, -20, 71.22, 8.30
109.60, 106, -20, 71.24, 8.30
109.65, 105, -19, 71.26, 8.30
109.70, 105, -19, 71.22, 8.20
109.75, 105, -19, 71.22, 8.30
109.80, 104, -19, 71.22, 8.30
109.85, 101, -19, 71.24, 8.30
109.90, 100, -18, 71.26, 8.30
109.95, 101, -18, 71.22, 8.30
110.00, 99, -18, 71.24, 8.30
110.05, 99, -18, 71.22, 8.30
110.10, 97, -19, 71.24, 8.30
110.15, 96, -19, 71.24, 8.30
110.20, 97, -19, 71.22, 8.20
110.25, 94, -19, 71.24, 8.20
110.30, 93, -19, 71.24, 8.30
110.35, 93, -19, 71.22, 8.30
110.40, 93, -18, 71.22, 8.30
110.45, 92, -18, 71.22, 8.30
110.50, 91, -18, 71.22, 8.30
110.55, 91, -18, 71.22, 8.30
110.60, 89, -18, 71.22, 8.30
110.65, 88, -18, 71.22, 8.30
110.70, 89, -18, 71.22, 8.30
110.75, 88, -18, 71.24, 8.30
110.80, 88, -17, 71.22, 8.30
110.85, 86, -17, 71.22, 8.30
110.90, 85, -17, 71.22, 8.30
110.95, 84, -17, 71.22, 8.30
111.00, 83, -17, 71.22, 8.30
111.05, 83, -17, 71.22, 8.20
111.10, 80, -17, 71.22, 8.30
111.15, 80, -17, 71.22, 8.30
111.20, 78, -17, 71.22, 8.30
111.25, 77, -17, 71.22, 8.30
111.30, 76, -17, 71.24, 8.30
111.35, 75, -18, 71.22, 8.30
111.40, 74, -18, 71.22, 8.30
111.45, 74, -18, 71.22, 8.30
111.50, 74, -17, 71.22, 8.30
111.55, 71, -17, 71.26, 8.30
111.60, 70, -17, 71.24, 8.20
111.65, 70, -17, 71.24, 8.30
111.70, 71, -17, 71.22, 8.30
111.75, 69, -17, 71.24, 8.30
111.80, 69, -17, 71.22, 8.30
111.85, 67, -17, 71.24, 8.30
111.90, 67, -18, 71.24, 8.20
111.95, 65, -18, 71.24, 8.30
112.00, 65, -18, 71.24, 8.30
112.05, 65, -17, 71.22, 8.30
112.10, 62, -17, 71.24, 8.30
112.15, 61, -17, 71.22, 8.30
112.20, 61, -17, 71.22, 8.30
112.25, 60, -17, 71.22, 8.30
112.30, 59, -17, 71.22, 8.30
112.35, 57, -17, 71.22, 8.30
112.40, 58, -17, 71.22, 8.30
112.45, 56, -17, 71.22, 8.30
112.50, 57, -17, 71.24, 8.30
112.55, 57, -17, 71.22, 8.30
112.60, 56, -17, 71.22, 8.30
112.65, 55, -17, 71.22, 8.30
112.70, 55, -17, 71.22, 8.30
112.75, 54, -17, 71.22, 8.30
112.80, 52, -17, 71.22, 8.30
112.85, 51, -17, 71.22, 8.30
112.90, 49, -17, 71.22, 8.30
112.95, 49, -17, 71.22, 8.30
113.00, 48, -17, 71.22, 8.30
113.05, 47, -16, 71.24, 8.30
113.10, 47, -16, 71.22, 8.30
113.15, 45, -16, 71.22, 8.30
113.20, 44, -16, 71.24, 8.30
113.25, 44, -16, 71.22, 8.30
113.30, 42, -16, 71.22, 8.30
113.35, 41, -16, 71.22, 8.30
113.40, 41, -16, 71.22, 8.30
113.45, 41, -16, 71.22, 8.30
113.50, 38, -16, 71.22, 8.30
113.55, 38, -16, 71.22, 8.30
113.60, 37, -17, 71.22, 8.30
113.65, 38, -17, 71.22, 8.30
113.70, 37, -17, 71.22, 8.30
113.75, 35, -17, 71.22, 8.30
113.80, 35, -17, 71.22, 8.30
113.85, 33, -16, 71.22, 8.30
113.90, 33, -16, 71.22, 8.30
113.95, 33, -16, 71.26, 8.30
114.00, 31, -17, 71.24, 8.30
114.05, 32, -17, 71.22, 8.30
114.10, 30, -17, 71.24, 8.30
114.15, 30, -17, 71.24, 8.30
114.20, 29, -17, 71.24, 8.30
114.25, 28, -17, 71.22, 8.30
114.30, 27, -17, 71.22, 8.20
114.35, 26, -17, 71.22, 8.30
114.40, 28, -17, 71.22, 8.30
114.45, 26, -17, 71.22, 8.30
114.50, 26, -17, 71.22, 8.30
114.55, 23, -17, 71.24, 8.30
114.60, 22, -16, 71.22, 8.30
114.65, 21, -16, 71.22, 8.30
114.70, 21, -16, 71.22, 8.20
114.75, 20, -16, 71.22, 8.30
114.80, 19, -16, 71.22, 8.30
114.85, 19, -16, 71.24, 8.30
114.90, 17, -15, 71.22, 8.30
114.95, 15, -15, 71.22, 8.30
115.00, 15, -15, 71.22, 8.30
115.05, 13, -15, 71.22, 8.30
115.10, 13, -15, 71.22, 8.30
115.15, 11, -15, 71.22, 8.30
115.20, 11, -15, 71.22, 8.30
115.25, 10, -15, 71.22, 8.30
115.30, 8, -15, 71.22, 8.30
115.35, 7, -16, 71.22, 8.30
115.40, 5, -16, 71.24, 8.30
115.45, 6, -17, 71.22, 8.30
115.50, 6, -16, 71.22, 8.30
115.55, 6, -16, 71.22, 8.30
115.60, 6, -16, 71.22, 8.30
115.65, 6, -15, 71.22, 8.30
115.70, 5, -15, 71.22, 8.30
115.75, 4, -15, 71.22, 8.30
115.80, 3, -14, 71.22, 8.30
115.85, 3, -14, 71.22, 8.30
115.90, 2, -13, 71.22, 8.30
115.95, 2, -13, 71.22, 8.30
116.00, 2, -12, 71.22, 8.30
116.05, 1, -12, 71.22, 8.30
116.10, 0, -11, 71.22, 8.30
116.15, -1, -11, 71.22, 8.30
116.20, -1, -10, 71.22, 8.20
116.25, -2, -10, 71.22, 8.20
116.30, -3, -9, 71.22, 8.30
116.35, -4, -8, 71.22, 8.30
116.40, -11, -8, 71.22, 8.30
116.45, -6, -8, 71.22, 8.30
116.50, -7, -8, 71.22, 8.30
116.55, -7, -8, 71.22, 8.30
116.60, -7, -8, 71.22, 8.20
116.65, -12, -7, 71.22, 8.20
116.70, -9, -7, 71.22, 8.30
116.75, -8, -7, 71.22, 8.20
116.80, -7, -6, 71.22, 8.30
116.85, -9, -6, 71.22, 8.30
116.90, -10, -6, 71.22, 8.30
116.95, -9, -6, 71.22, 8.30
117.00, -9, -5, 71.22, 8.20
117.05, -9, -5, 71.22, 8.30
117.10, -9, -5, 71.22, 8.30
117.15, -9, -4, 71.22, 8.30
117.20, -9, -4, 71.22, 8.30
117.25, -9, -3, 71.22, 8.30
117.30, -10, -3, 71.24, 8.30
117.35, -9, -2, 71.22, 8.30
117.40, -9, -1, 71.22, 8.30
117.45, -8, -1, 71.20, 8.30
117.50, -10, -1, 71.24, 8.30
117.55, -10, -1, 71.22, 8.30
117.60, -10, -0, 71.22, 8.30
117.65, -8, -0, 71.22, 8.30
117.70, -7, -0, 71.22, 8.20
117.75, -10, -0, 71.22, 8.30
117.80, -9, -0, 71.22, 8.30
117.85, -8, 0, 71.22, 8.30
117.90, -9, 0, 71.22, 8.30
117.95, -10, 0, 71.22, 8.30
118.00, -9, 1, 71.22, 8.30
118.05, -9, 1, 71.22, 8.30
118.10, -8, 1, 71.22, 8.20
118.15, -9, 0, 71.22, 8.20
118.20, -9, 0, 71.22, 8.30
118.25, -9, 0, 71.22, 8.30
118.30, -8, 0, 71.22, 8.20
118.35, -9, 0, 71.22, 8.30
118.40, -9, 0, 71.22, 8.30
118.45, -9, 0, 71.22, 8.30
118.50, -9, 0, 71.22, 8.30
118.55, -9, 0, 71.22, 8.30
118.60, -9, 0, 71.20, 8.30
118.65, -9, 0, 71.22, 8.30
118.70, -9, 0, 71.22, 8.30
118.75, -9, 0, 71.22, 8.30
118.80, -8, 0, 71.22, 8.20
118.85, -9, 0, 71.22, 8.20
118.90, -8, 0, 71.22, 8.20
118.95, -8, 0, 71.22, 8.30
119.00, -7, 0, 71.22, 8.20
119.05, -8, 0, 71.22, 8.30
119.10, -9, 0, 71.22, 8.30
119.15, -8, 0, 71.22, 8.30
119.20, -8, 0, 71.22, 8.30
119.25, -9, 0, 71.22, 8.30
119.30, -9, 0, 71.22, 8.30
119.35, -8, 0, 71.22, 8.30
119.40, -9, 0, 71.22, 8.30
119.45, -8, 0, 71.22, 8.30
119.50, -9, 0, 71.22, 8.30
119.55, -9, 0, 71.22, 8.30
119.60, -9, 0, 71.22, 8.30
119.65, -8, 0, 71.22, 8.30
119.70, -9, 0, 71.22, 8.30
119.75, -8, 0, 71.22, 8.30
119.80, -8, 0, 71.22, 8.30
119.85, -9, -0, 71.22, 8.30
119.90, -7, -0, 71.22, 8.30
119.95, -8, -0, 71.22, 8.30
120.00, -9, -0, 71.22, 8.30
120.05, -9, 0, 71.22, 8.30
120.10, -7, 1, 71.22, 8.30
120.15, -8, 1, 71.22, 8.30
120.20, -7, 0, 71.22, 8.30
120.25, -9, -1, 71.22, 8.20
120.30, -9, -2, 71.22, 8.30
120.35, -8, -1, 71.22, 8.30
120.40, -9, -1, 71.22, 8.30
120.45, -8, 0, 71.20, 8.30
120.50, -10, 1, 71.22, 8.30
120.55, -7, 1, 71.22, 8.30
120.60, -8, 0, 71.20, 8.30
120.65, -9, 0, 71.22, 8.30
120.70, -9, -0, 71.22, 8.30
120.75, -7, -0, 71.20, 8.30
120.80, -9, -0, 71.22, 8.30
120.85, -9, -0, 71.22, 8.30
120.90, -9, -0, 71.22, 8.30
120.95, -7, -0, 71.22, 8.30
121.00, -8, -0, 71.20, 8.30
121.05, -9, -0, 71.22, 8.30
121.10, -9, -0, 71.22, 8.30
121.15, -9, -0, 71.22, 8.30
