Time (s),Raw Altitude (m),Filtered Altitude (m),Speed (m/s),Z Acceleration (m/s^2),Events,Actions
97.55,303.03,303.50,-11.93,24.71,"",""
97.60,302.51,302.92,-11.62,6.35,"",""
97.65,302.23,302.43,-9.93,33.61,"",""
97.70,301.78,301.94,-9.71,4.43,"",""
97.75,301.51,301.52,-8.47,24.91,"",""
97.80,301.33,301.17,-7.01,29.16,"",""
97.85,301.28,300.91,-5.16,37.03,"",""
97.90,301.38,300.76,-2.90,45.17,"",""
97.95,301.19,300.61,-2.98,-1.71,"",""
98.00,301.62,300.65,0.66,72.96,"",""
98.05,301.55,300.66,0.34,-6.55,"",""
98.10,301.07,300.55,-2.38,-54.30,"",""
98.15,300.92,300.43,-2.41,-0.58,"",""
98.20,300.26,300.15,-5.50,-61.78,"",""
98.25,299.63,299.77,-7.60,-41.96,"",""
98.30,299.35,299.42,-7.04,11.13,"",""
98.35,298.80,299.01,-8.25,-24.18,"",""
98.40,298.41,298.60,-8.18,1.45,"",""
98.45,298.06,298.20,-7.88,5.93,"",""
98.50,297.39,297.72,-9.58,-33.99,"",""
98.55,297.04,297.28,-8.91,13.46,"",""
98.60,296.42,296.78,-10.03,-22.40,"",""
98.65,296.22,296.36,-8.33,34.00,"",""
98.70,295.67,295.90,-9.17,-16.90,"",""
98.75,295.36,295.49,-8.35,16.42,"",""
98.80,294.89,295.05,-8.70,-7.06,"",""
98.85,294.46,294.61,-8.72,-0.35,"",""
98.90,293.84,294.12,-9.87,-23.01,"",""
98.95,293.60,293.70,-8.43,28.73,"",""
99.00,293.57,293.39,-6.11,46.40,"",""
99.05,293.01,293.01,-7.59,-29.46,"",""
99.10,292.48,292.59,-8.49,-18.11,"",""
99.15,292.23,292.22,-7.48,20.29,"",""
99.20,292.09,291.91,-6.07,28.15,"",""
99.25,291.65,291.57,-6.84,-15.32,"",""
99.30,291.44,291.27,-6.02,16.29,"",""
99.35,291.37,291.04,-4.58,28.75,"",""
99.40,291.23,290.84,-3.95,12.68,"",""
99.45,291.09,290.67,-3.49,9.22,"",""
99.50,290.89,290.49,-3.52,-0.54,"",""
99.55,290.53,290.27,-4.50,-19.72,"",""
99.60,290.03,289.96,-6.07,-31.42,"",""
99.65,289.83,289.69,-5.43,12.83,"",""
99.70,289.70,289.47,-4.54,17.81,"",""
99.75,289.08,289.12,-6.83,-45.75,"",""
99.80,288.99,288.86,-5.33,29.90,"",""
99.85,288.37,288.49,-7.41,-41.61,"",""
99.90,287.83,288.06,-8.46,-21.02,"",""
99.95,287.64,287.71,-7.14,26.58,"",""
100.00,287.11,287.30,-8.19,-21.19,"",""
100.05,286.96,286.96,-6.69,30.05,"",""
100.10,286.24,286.51,-9.01,-46.26,"",""
100.15,285.88,286.08,-8.55,9.20,"",""
100.20,285.04,285.53,-11.08,-50.76,"",""
100.25,284.20,284.88,-12.95,-37.24,"",""
100.30,283.56,284.23,-13.11,-3.23,"",""
100.35,282.82,283.54,-13.82,-14.17,"",""
100.40,282.35,282.90,-12.71,22.19,"",""
100.45,281.89,282.31,-11.82,17.72,"",""
100.50,281.39,281.74,-11.40,8.39,"",""
100.55,280.90,281.19,-11.03,7.49,"",""
100.60,280.76,280.76,-8.64,47.61,"",""
100.65,280.42,280.35,-8.09,11.08,"",""
100.70,280.57,280.12,-4.74,66.95,"",""
100.75,280.09,279.81,-6.06,-26.42,"",""
100.80,279.77,279.51,-6.08,-0.35,"",""
100.85,279.37,279.18,-6.58,-9.94,"",""
100.90,279.28,278.93,-5.09,29.81,"",""
100.95,278.83,278.62,-6.16,-21.34,"",""
101.00,278.43,278.29,-6.64,-9.79,"",""
101.05,278.10,277.96,-6.59,1.14,"",""
101.10,277.66,277.60,-7.21,-12.41,"",""
101.15,277.22,277.21,-7.67,-9.16,"",""
101.20,277.12,276.91,-5.96,34.05,"",""
101.25,276.57,276.54,-7.41,-28.98,"",""
101.30,276.04,276.13,-8.36,-18.96,"",""
101.35,275.93,275.80,-6.54,36.46,"",""
101.40,275.69,275.50,-5.98,11.22,"",""
101.45,275.32,275.18,-6.35,-7.39,"",""
101.50,274.57,274.74,-8.90,-51.09,"",""
101.55,274.06,274.27,-9.34,-8.79,"",""
101.60,273.55,273.79,-9.66,-6.41,"",""
101.65,272.77,273.21,-11.51,-37.05,"",""
101.70,272.06,272.59,-12.45,-18.76,"",""
101.75,271.49,271.97,-12.30,3.14,"",""
101.80,270.35,271.19,-15.59,-65.93,"",""
101.85,269.31,270.32,-17.41,-36.31,"",""
101.90,268.67,269.51,-16.33,21.56,"",""
101.95,268.27,268.80,-14.08,44.95,"",""
102.00,267.81,268.16,-12.78,26.09,"",""
102.05,267.43,267.60,-11.33,28.94,"",""
102.10,266.93,267.05,-10.98,6.97,"",""
102.15,266.71,266.60,-9.04,38.78,"",""
102.20,266.29,266.16,-8.82,4.54,"",""
102.25,265.92,265.74,-8.35,9.30,"",""
102.30,265.58,265.35,-7.83,10.40,"",""
102.35,265.23,264.97,-7.51,6.39,"",""
102.40,265.13,264.68,-5.78,34.62,"",""
102.45,265.19,264.50,-3.55,44.57,"",""
102.50,265.44,264.47,-0.78,55.43,"",""
102.55,265.59,264.50,0.65,28.53,"",""
102.60,265.28,264.44,-1.08,-34.52,"",""
102.65,265.01,264.34,-2.13,-20.90,"",""
102.70,264.97,264.26,-1.53,11.99,"",""
102.75,264.63,264.12,-2.90,-27.39,"",""
102.80,264.27,263.91,-4.03,-22.75,"",""
102.85,264.00,263.70,-4.34,-6.07,"",""
102.90,263.72,263.47,-4.62,-5.77,"",""
102.95,262.99,263.09,-7.54,-58.33,"",""
103.00,262.88,262.79,-5.97,31.45,"",""
103.05,262.61,262.50,-5.77,3.95,"",""
103.10,262.00,262.12,-7.67,-37.93,"",""
103.15,261.53,261.71,-8.22,-11.11,"",""
103.20,261.60,261.44,-5.39,56.67,"",""
103.25,260.90,261.04,-7.92,-50.69,"",""
103.30,260.45,260.63,-8.29,-7.31,"",""
103.35,260.01,260.20,-8.50,-4.13,"",""
103.40,259.70,259.81,-7.87,12.62,"",""
103.45,259.46,259.46,-6.98,17.73,"",""
103.50,259.37,259.19,-5.43,31.07,"",""
103.55,258.83,258.84,-6.98,-31.17,"",""
103.60,258.25,258.42,-8.37,-27.76,"",""
103.65,257.71,257.96,-9.15,-15.60,"",""
103.70,257.08,257.45,-10.26,-22.22,"",""
103.75,256.27,256.84,-12.16,-37.85,"",""
103.80,255.24,256.10,-14.86,-54.11,"",""
103.85,254.70,255.41,-13.90,19.20,"",""
103.90,254.08,254.72,-13.66,4.77,"",""
103.95,253.95,254.20,-10.54,62.52,"",""
104.00,253.89,253.80,-7.81,54.54,"",""
104.05,253.96,253.55,-5.02,55.76,"",""
104.10,253.69,253.30,-5.01,0.16,"",""
104.15,253.71,253.14,-3.27,34.80,"",""
104.20,253.55,252.99,-3.08,3.86,"",""
104.25,253.20,252.78,-4.09,-20.13,"",""
104.30,253.02,252.59,-3.82,5.43,"",""
104.35,252.70,252.37,-4.46,-12.93,"",""
104.40,252.33,252.11,-5.24,-15.63,"",""
104.45,251.84,251.78,-6.54,-25.99,"",""
104.50,251.80,251.54,-4.80,34.83,"",""
104.55,251.45,251.27,-5.38,-11.62,"",""
104.60,250.78,250.88,-7.73,-47.02,"",""
104.65,249.99,250.37,-10.18,-49.01,"",""
104.70,249.39,249.83,-10.84,-13.19,"",""
104.75,248.90,249.30,-10.66,3.62,"",""
104.80,248.63,248.84,-9.20,29.19,"",""
104.85,248.58,248.50,-6.80,47.97,"",""
104.90,248.42,248.21,-5.70,22.12,"",""
104.95,248.03,247.90,-6.27,-11.36,"",""
105.00,247.73,247.59,-6.15,2.39,"",""
105.05,247.61,247.34,-4.98,23.31,"",""
105.10,247.51,247.14,-4.01,19.49,"",""
105.15,247.33,246.95,-3.77,4.65,"",""
105.20,247.13,246.77,-3.73,0.91,"",""
105.25,247.04,246.62,-3.04,13.75,"",""
105.30,246.80,246.44,-3.44,-8.00,"",""
105.35,246.78,246.32,-2.42,20.39,"",""
105.40,246.76,246.24,-1.68,14.88,"",""
105.45,246.58,246.13,-2.10,-8.40,"",""
105.50,245.94,245.87,-5.17,-61.53,"",""
105.55,245.62,245.60,-5.52,-6.96,"",""
105.60,245.78,245.45,-2.90,52.47,"",""
105.65,245.28,245.21,-4.93,-40.64,"",""
105.70,244.88,244.92,-5.83,-17.97,"",""
105.75,243.97,244.44,-9.55,-74.43,"",""
105.80,243.91,244.08,-7.19,47.30,"",""
105.85,243.85,243.81,-5.44,34.91,"",""
105.90,243.15,243.41,-8.00,-51.09,"",""
105.95,242.96,243.07,-6.81,23.63,"",""
106.00,242.48,242.68,-7.68,-17.35,"",""
106.05,241.73,242.18,-9.94,-45.12,"",""
106.10,241.60,241.79,-7.87,41.30,"",""
106.15,240.87,241.29,-9.95,-41.51,"",""
106.20,240.31,240.77,-10.45,-10.05,"",""
106.25,239.90,240.28,-9.91,10.74,"",""
106.30,239.38,239.77,-10.17,-5.17,"",""
106.35,239.08,239.32,-9.04,22.71,"",""
106.40,238.60,238.85,-9.28,-4.79,"",""
106.45,238.11,238.38,-9.51,-4.65,"",""
106.50,237.57,237.88,-9.98,-9.34,"",""
106.55,237.17,237.40,-9.48,10.01,"",""
106.60,236.55,236.88,-10.42,-18.95,"",""
106.65,236.20,236.41,-9.50,18.54,"",""
106.70,235.40,235.83,-11.51,-40.27,"",""
106.75,234.86,235.26,-11.43,1.66,"",""
106.80,234.29,234.68,-11.54,-2.25,"",""
106.85,234.20,234.25,-8.73,56.07,"",""
106.90,233.48,233.72,-10.45,-34.27,"",""
106.95,232.96,233.20,-10.51,-1.18,"",""
107.00,232.63,232.73,-9.41,22.01,"",""
107.05,232.34,232.31,-8.35,21.05,"",""
107.10,232.14,231.96,-7.04,26.30,"",""
107.15,232.09,231.70,-5.17,37.32,"",""
107.20,232.07,231.52,-3.62,30.98,"",""
107.25,231.95,231.36,-3.09,10.65,"",""
107.30,231.59,231.16,-4.15,-21.14,"",""
107.35,231.14,230.88,-5.47,-26.51,"",""
107.40,230.90,230.62,-5.20,5.58,"",""
107.45,230.57,230.35,-5.53,-6.77,"",""
107.50,230.45,230.12,-4.53,20.14,"",""
107.55,230.24,229.90,-4.33,3.94,"",""
107.60,229.86,229.64,-5.21,-17.61,"",""
107.65,229.23,229.28,-7.36,-43.04,"",""
107.70,229.15,228.99,-5.65,34.30,"",""
107.75,228.49,228.60,-7.87,-44.38,"",""
107.80,228.03,228.18,-8.30,-8.66,"",""
107.85,227.47,227.72,-9.22,-18.33,"",""
107.90,226.82,227.20,-10.43,-24.23,"",""
107.95,226.63,226.78,-8.55,37.47,"",""
108.00,226.32,226.38,-7.89,13.25,"",""
108.05,226.15,226.05,-6.56,26.58,"",""
108.10,225.58,225.65,-7.98,-28.44,"",""
108.15,224.87,225.16,-9.87,-37.73,"",""
108.20,224.63,224.74,-8.44,28.69,"",""
108.25,224.27,224.33,-8.10,6.77,"",""
108.30,223.44,223.80,-10.67,-51.39,"",""
108.35,223.39,223.41,-7.88,55.85,"",""
108.40,222.93,222.99,-8.28,-8.04,"",""
108.45,222.73,222.64,-7.01,25.29,"",""
108.50,222.12,222.21,-8.54,-30.59,"",""
108.55,221.59,221.75,-9.19,-12.91,"",""
108.60,221.01,221.26,-9.96,-15.46,"",""
108.65,220.45,220.74,-10.41,-8.91,"",""
108.70,219.89,220.20,-10.73,-6.48,"",""
108.75,219.20,219.61,-11.74,-20.28,"",""
108.80,218.71,219.05,-11.28,9.19,"",""
108.85,218.08,218.46,-11.78,-9.92,"",""
108.90,217.71,217.93,-10.58,24.01,"",""
108.95,217.31,217.44,-9.87,14.16,"",""
109.00,216.90,216.97,-9.41,9.27,"",""
109.05,216.52,216.52,-8.89,10.45,"",""
109.10,216.23,216.12,-7.96,18.50,"",""
109.15,215.94,215.76,-7.28,13.60,"",""
109.20,215.47,215.37,-7.86,-11.64,"",""
109.25,215.21,215.02,-7.03,16.59,"",""
109.30,214.83,214.66,-7.14,-2.23,"",""
109.35,214.57,214.33,-6.51,12.70,"",""
109.40,214.24,214.01,-6.47,0.88,"",""
109.45,214.21,213.78,-4.64,36.58,"",""
109.50,213.84,213.51,-5.34,-13.98,"",""
109.55,213.77,213.31,-4.06,25.59,"",""
109.60,213.40,213.06,-4.92,-17.29,"",""
109.65,213.33,212.87,-3.76,23.15,"",""
109.70,213.20,212.71,-3.28,9.72,"",""
109.75,213.06,212.56,-2.99,5.80,"",""
109.80,212.93,212.42,-2.72,5.32,"",""
109.85,212.46,212.20,-4.57,-37.04,"",""
109.90,212.24,211.97,-4.44,2.62,"",""
109.95,211.55,211.62,-7.17,-54.55,"",""
110.00,210.66,211.10,-10.38,-64.17,"",""
110.05,210.42,210.65,-8.84,30.85,"",""
110.10,210.29,210.30,-7.04,36.01,"",""
110.15,210.05,209.98,-6.37,13.34,"",""
110.20,209.51,209.60,-7.68,-26.19,"",""
110.25,209.08,209.20,-7.98,-6.07,"",""
110.30,208.70,208.81,-7.90,1.56,"",""
110.35,208.13,208.36,-8.98,-21.61,"",""
110.40,207.71,207.91,-8.88,2.15,"",""
110.45,207.32,207.48,-8.61,5.24,"",""
110.50,207.05,207.10,-7.70,18.32,"",""
110.55,206.87,206.77,-6.48,24.31,"",""
110.60,206.49,206.43,-6.79,-6.12,"",""
110.65,206.05,206.06,-7.38,-11.73,"",""
110.70,205.56,205.66,-8.11,-14.64,"",""
110.75,205.09,205.23,-8.53,-8.35,"",""
110.80,204.69,204.81,-8.41,2.29,"",""
110.85,204.41,204.43,-7.60,16.13,"",""
110.90,204.06,204.06,-7.43,3.49,"",""
110.95,203.78,203.72,-6.88,10.97,"",""
111.00,203.18,203.30,-8.40,-30.34,"",""
111.05,202.80,202.89,-8.19,4.08,"",""
111.10,202.55,202.52,-7.26,18.64,"",""
111.15,202.27,202.19,-6.76,10.12,"",""
111.20,202.01,201.87,-6.26,9.83,"",""
111.25,201.66,201.55,-6.44,-3.60,"",""
111.30,201.13,201.17,-7.66,-24.28,"",""
111.35,200.75,200.79,-7.65,0.12,"",""
111.40,200.29,200.38,-8.13,-9.50,"",""
111.45,200.14,200.05,-6.62,30.23,"",""
111.50,199.97,199.77,-5.62,19.84,"",""
111.55,199.40,199.40,-7.30,-33.44,"",""
111.60,198.98,199.02,-7.63,-6.64,"",""
111.65,198.63,198.65,-7.45,3.52,"",""
111.70,198.48,198.34,-6.12,26.60,"",""
111.75,198.05,198.00,-6.82,-14.04,"",""
111.80,197.85,197.70,-5.96,17.24,"",""
111.85,197.46,197.38,-6.47,-10.15,"",""
111.90,197.57,197.19,-3.84,52.50,"",""
111.95,197.12,196.92,-5.28,-28.64,"",""
112.00,196.75,196.63,-5.85,-11.56,"",""
112.05,196.15,196.25,-7.66,-36.16,"",""
112.10,196.10,195.96,-5.69,39.39,"",""
112.15,195.62,195.62,-6.82,-22.62,"",""
112.20,195.45,195.33,-5.80,20.53,"",""
112.25,194.93,194.97,-7.14,-26.91,"",""
112.30,194.45,194.58,-7.89,-15.01,"",""
112.35,194.15,194.21,-7.36,10.58,"",""
112.40,193.78,193.84,-7.39,-0.59,"",""
112.45,193.47,193.49,-7.05,6.79,"",""
112.50,193.15,193.15,-6.86,3.81,"",""
112.55,192.84,192.81,-6.66,4.00,"",""
112.60,192.90,192.60,-4.30,47.34,"",""
112.65,192.29,192.27,-6.58,-45.61,"",""
112.70,191.77,191.88,-7.72,-22.81,"",""
112.75,191.67,191.58,-6.04,33.63,"",""
112.80,191.54,191.33,-4.98,21.15,"",""
112.85,191.50,191.15,-3.66,26.32,"",""
112.90,191.04,190.89,-5.22,-31.12,"",""
112.95,190.89,190.66,-4.51,14.22,"",""
113.00,190.71,190.45,-4.17,6.81,"",""
113.05,190.53,190.26,-3.92,4.94,"",""
113.10,189.11,189.70,-11.18,-145.25,"",""
113.15,188.94,189.25,-9.03,43.16,"",""
113.20,188.58,188.82,-8.57,9.10,"",""
113.25,188.28,188.43,-7.87,13.98,"",""
113.30,187.92,188.04,-7.71,3.15,"",""
113.35,187.91,187.77,-5.50,44.36,"",""
113.40,187.23,187.37,-7.88,-47.76,"",""
113.45,186.82,186.97,-8.02,-2.75,"",""
113.50,186.43,186.57,-8.00,0.42,"",""
113.55,185.68,186.06,-10.14,-42.84,"",""
113.60,184.91,185.47,-11.83,-33.85,"",""
113.65,184.43,184.91,-11.33,10.04,"",""
113.70,184.10,184.40,-10.06,25.55,"",""
113.75,183.55,183.88,-10.43,-7.48,"",""
113.80,183.32,183.44,-8.78,32.99,"",""
113.85,182.66,182.93,-10.14,-27.25,"",""
113.90,182.37,182.49,-8.92,24.41,"",""
113.95,181.99,182.06,-8.56,7.22,"",""
114.00,181.83,181.71,-6.97,31.74,"",""
114.05,181.31,181.31,-7.97,-19.85,"",""
114.10,180.92,180.92,-7.92,0.98,"",""
114.15,180.37,180.48,-8.84,-18.48,"",""
114.20,179.93,180.03,-8.86,-0.38,"",""
114.25,179.44,179.57,-9.17,-6.25,"",""
114.30,178.92,179.09,-9.58,-8.16,"",""
114.35,178.33,178.58,-10.30,-14.36,"",""
114.40,177.66,178.01,-11.30,-20.10,"",""
114.45,176.93,177.39,-12.40,-21.90,"",""
114.50,176.53,176.83,-11.22,23.61,"",""
114.55,175.92,176.25,-11.60,-7.71,"",""
114.60,175.51,175.72,-10.68,18.43,"",""
114.65,175.11,175.22,-9.94,14.84,"",""
114.70,174.33,174.64,-11.67,-34.63,"",""
114.75,173.97,174.12,-10.42,24.98,"",""
114.80,173.87,173.72,-7.94,49.65,"",""
114.85,173.37,173.29,-8.51,-11.46,"",""
114.90,173.31,172.98,-6.30,44.33,"",""
114.95,173.19,172.73,-5.03,25.36,"",""
115.00,173.61,172.69,-0.86,83.34,"",""
115.05,173.47,172.63,-1.17,-6.08,"",""
115.10,173.23,172.53,-2.00,-16.75,"",""
115.15,172.96,172.39,-2.81,-16.16,"",""
115.20,172.91,172.28,-2.10,14.31,"",""
115.25,172.75,172.17,-2.24,-2.85,"",""
115.30,172.98,172.17,-0.01,44.51,"",""
115.35,172.16,171.93,-4.69,-93.46,"",""
115.40,171.54,171.59,-6.93,-44.93,"",""
115.45,170.99,171.18,-8.17,-24.69,"",""
115.50,171.00,170.89,-5.71,49.06,"",""
115.55,170.58,170.57,-6.49,-15.48,"",""
115.60,170.29,170.26,-6.28,4.19,"",""
115.65,169.66,169.85,-8.16,-37.72,"",""
115.70,169.05,169.38,-9.43,-25.34,"",""
115.75,168.65,168.92,-9.10,6.63,"",""
115.80,168.19,168.46,-9.21,-2.23,"",""
115.85,167.73,168.00,-9.29,-1.56,"",""
115.90,167.36,167.56,-8.80,9.74,"",""
115.95,166.57,167.01,-10.96,-43.16,"",""
116.00,165.73,166.37,-12.84,-37.67,"",""
116.05,164.90,165.66,-14.16,-26.35,"",""
116.10,164.04,164.89,-15.30,-22.78,"",""
116.15,163.16,164.08,-16.25,-18.92,"",""
116.20,162.17,163.20,-17.59,-26.85,"",""
116.25,161.59,162.40,-16.10,29.74,"",""
116.30,160.92,161.62,-15.53,11.37,"",""
116.35,160.48,160.93,-13.72,36.20,"",""
116.40,160.16,160.35,-11.66,41.22,"",""
116.45,159.77,159.82,-10.56,22.03,"",""
116.50,159.38,159.33,-9.75,16.25,"",""
116.55,158.83,158.83,-10.11,-7.24,"",""
116.60,158.46,158.36,-9.30,16.26,"",""
116.65,158.21,157.97,-7.98,26.35,"",""
116.70,157.80,157.57,-7.97,0.14,"",""
116.75,157.39,157.17,-7.97,0.03,"",""
116.80,156.94,156.76,-8.21,-4.85,"",""
116.85,156.86,156.45,-6.17,40.77,"",""
116.90,156.63,156.17,-5.58,11.91,"",""
116.95,156.36,155.90,-5.39,3.83,"",""
117.00,156.42,155.74,-3.27,42.28,"",""
117.05,156.19,155.56,-3.47,-3.86,"",""
117.10,155.75,155.32,-4.88,-28.24,"",""
117.15,155.71,155.14,-3.53,27.05,"",""
117.20,155.41,154.94,-4.10,-11.45,"",""
117.25,154.96,154.67,-5.43,-26.58,"",""
117.30,154.89,154.46,-4.13,25.92,"",""
117.35,154.33,154.15,-6.12,-39.84,"",""
117.40,154.19,153.90,-5.07,20.99,"",""
117.45,153.93,153.65,-5.02,0.98,"",""
117.50,153.49,153.35,-6.07,-20.97,"",""
117.55,152.94,152.97,-7.51,-28.70,"",""
117.60,152.47,152.57,-8.08,-11.54,"",""
117.65,152.26,152.22,-6.95,22.73,"",""
117.70,151.86,151.86,-7.25,-6.06,"",""
117.75,151.40,151.46,-7.83,-11.67,"",""
117.80,150.61,150.95,-10.24,-48.18,"",""
117.85,150.59,150.58,-7.39,57.01,"",""
117.90,150.10,150.18,-8.11,-14.40,"",""
117.95,149.59,149.74,-8.76,-12.98,"","Channel 1 turned on"
118.00,149.06,149.27,-9.36,-11.92,"",""
118.05,148.61,148.81,-9.31,0.88,"",""
118.10,148.85,148.55,-5.14,83.51,"",""
118.15,148.39,148.24,-6.27,-22.56,"",""
118.20,147.71,147.81,-8.42,-43.07,"",""
118.25,147.27,147.39,-8.57,-2.90,"",""
118.30,146.81,146.95,-8.79,-4.50,"",""
118.35,146.79,146.63,-6.31,49.52,"",""
118.40,146.14,146.22,-8.27,-39.16,"",""
118.45,145.82,145.83,-7.73,10.77,"",""
118.50,145.09,145.34,-9.80,-41.26,"",""
118.55,144.62,144.85,-9.75,0.88,"",""
118.60,144.10,144.35,-10.02,-5.28,"",""
118.65,143.48,143.81,-10.81,-15.81,"",""
118.70,142.98,143.28,-10.66,2.85,"",""
118.75,142.43,142.74,-10.85,-3.80,"",""
118.80,142.26,142.30,-8.71,42.89,"",""
118.85,141.78,141.85,-8.99,-5.58,"",""
118.90,141.44,141.43,-8.35,12.71,"",""
118.95,140.61,140.89,-10.83,-49.44,"",""
119.00,140.27,140.41,-9.70,22.46,"",""
119.05,139.72,139.90,-10.13,-8.61,"",""
119.10,138.89,139.29,-12.13,-39.88,"",""
119.15,138.59,138.77,-10.41,34.34,"",""
119.20,138.04,138.24,-10.64,-4.64,"",""
119.25,137.71,137.77,-9.49,23.04,"",""
119.30,137.21,137.28,-9.66,-3.40,"",""
119.35,136.86,136.84,-8.88,15.52,"",""
119.40,136.50,136.42,-8.37,10.23,"",""
119.45,136.49,136.13,-5.90,49.51,"",""
119.50,136.32,135.87,-5.04,17.17,"",""
119.55,136.27,135.69,-3.69,26.91,"",""
119.60,135.52,135.34,-6.91,-64.36,"",""
119.65,135.15,134.99,-7.00,-1.88,"",""
119.70,134.57,134.58,-8.34,-26.63,"",""
119.75,134.09,134.14,-8.72,-7.62,"",""
119.80,133.85,133.76,-7.56,23.20,"",""
119.85,133.42,133.37,-7.84,-5.73,"",""
119.90,133.10,133.00,-7.40,8.96,"",""
119.95,132.83,132.66,-6.77,12.57,"","Channel 1 turned off"
120.00,132.32,132.28,-7.75,-19.59,"",""
120.05,132.17,131.96,-6.31,28.75,"",""
120.10,131.89,131.66,-6.03,5.52,"",""
120.15,131.53,131.34,-6.31,-5.61,"",""
120.20,130.85,130.92,-8.44,-42.59,"",""
120.25,130.34,130.47,-8.99,-10.96,"",""
120.30,129.97,130.04,-8.55,8.77,"",""
120.35,129.72,129.67,-7.51,20.88,"",""
120.40,129.78,129.42,-4.88,52.57,"",""
120.45,129.29,129.11,-6.25,-27.38,"",""
120.50,128.52,128.66,-8.94,-53.83,"",""
120.55,128.14,128.23,-8.58,7.18,"",""
120.60,127.74,127.81,-8.44,2.92,"",""
120.65,127.48,127.44,-7.49,18.98,"",""
120.70,126.96,127.02,-8.35,-17.23,"",""
120.75,126.40,126.56,-9.22,-17.48,"",""
120.80,126.01,126.12,-8.84,7.57,"",""
120.85,125.65,125.70,-8.38,9.21,"",""
120.90,125.47,125.35,-6.96,28.40,"",""
120.95,124.77,124.90,-9.04,-41.51,"",""
121.00,124.48,124.49,-8.11,18.66,"",""
121.05,123.43,123.89,-11.98,-77.45,"",""
121.10,123.34,123.44,-9.06,58.28,"",""
121.15,123.15,123.07,-7.52,30.97,"",""
121.20,122.83,122.71,-7.16,7.20,"",""
121.25,122.21,122.27,-8.69,-30.74,"",""
121.30,121.60,121.79,-9.76,-21.43,"",""
121.35,120.67,121.16,-12.47,-54.13,"",""
121.40,120.22,120.58,-11.58,17.87,"",""
121.45,119.70,120.02,-11.33,4.88,"",""
121.50,118.91,119.38,-12.77,-28.70,"",""
121.55,118.26,118.73,-12.98,-4.20,"",""
121.60,117.46,118.03,-14.03,-20.95,"",""
121.65,117.18,117.44,-11.67,47.14,"",""
121.70,116.94,116.96,-9.69,39.62,"",""
121.75,116.78,116.57,-7.75,38.80,"",""
121.80,116.48,116.21,-7.16,11.72,"",""
121.85,116.16,115.87,-6.85,6.16,"",""
121.90,115.84,115.54,-6.63,4.44,"",""
121.95,116.19,115.42,-2.45,83.58,"",""
122.00,116.28,115.37,-0.94,30.14,"",""
122.05,116.16,115.32,-1.11,-3.28,"",""
122.10,116.48,115.39,1.40,50.12,"",""
122.15,115.70,115.22,-3.37,-95.42,"",""
122.20,115.50,115.05,-3.42,-0.86,"",""
122.25,115.43,114.91,-2.68,14.82,"",""
122.30,115.17,114.75,-3.28,-12.04,"",""
122.35,114.26,114.37,-7.63,-87.01,"",""
122.40,114.17,114.07,-5.91,34.32,"",""
122.45,113.48,113.66,-8.25,-46.74,"",""
122.50,113.02,113.23,-8.59,-6.78,"",""
122.55,112.46,112.76,-9.43,-16.93,"",""
122.60,111.69,112.19,-11.31,-37.58,"",""
122.65,110.74,111.50,-13.77,-49.13,"",""
122.70,110.30,110.88,-12.51,25.24,"",""
122.75,109.73,110.26,-12.35,3.18,"",""
122.80,109.26,109.68,-11.62,14.51,"",""
122.85,108.33,108.99,-13.84,-44.38,"",""
122.90,107.12,108.13,-17.15,-66.09,"",""
122.95,106.46,107.32,-16.27,17.62,"",""
123.00,105.80,106.54,-15.60,13.25,"",""
123.05,105.31,105.83,-14.08,30.40,"",""
123.10,105.19,105.30,-10.73,66.96,"",""
123.15,105.20,104.92,-7.49,64.98,"",""
123.20,104.91,104.58,-6.90,11.79,"",""
123.25,104.57,104.24,-6.77,2.58,"",""
123.30,104.52,103.99,-4.94,36.60,"",""
123.35,104.42,103.80,-3.90,20.80,"",""
123.40,104.26,103.62,-3.50,7.93,"",""
123.45,103.70,103.34,-5.62,-42.36,"",""
123.50,103.55,103.10,-4.73,17.87,"",""
123.55,103.25,102.86,-4.97,-4.97,"",""
123.60,102.86,102.57,-5.70,-14.59,"",""
123.65,102.69,102.32,-4.93,15.56,"",""
123.70,102.15,101.99,-6.58,-33.05,"",""
123.75,102.25,101.80,-3.96,52.40,"",""
123.80,101.63,101.48,-6.35,-47.93,"",""
123.85,100.94,101.05,-8.54,-43.77,"",""
123.90,100.44,100.60,-9.01,-9.41,"",""
123.95,100.13,100.19,-8.22,15.91,"",""
124.00,99.67,99.76,-8.53,-6.25,"",""
124.05,99.10,99.29,-9.42,-17.78,"",""
124.10,98.38,98.74,-10.97,-31.04,"",""
124.15,97.72,98.16,-11.75,-15.56,"",""
124.20,97.01,97.53,-12.62,-17.32,"",""
124.25,95.77,96.70,-16.43,-76.20,"",""
124.30,94.59,95.76,-18.86,-48.65,"",""
124.35,93.50,94.76,-20.09,-24.68,"",""
124.40,92.57,93.76,-20.02,1.41,"",""
124.45,92.11,92.90,-17.13,57.81,"",""
124.50,92.06,92.27,-12.53,92.05,"",""
124.55,92.16,91.86,-8.23,85.89,"",""
124.60,92.28,91.61,-4.95,65.60,"",""
124.65,92.15,91.41,-4.05,18.12,"",""
124.70,91.20,91.00,-8.31,-85.28,"",""
124.75,90.82,90.59,-8.04,5.50,"",""
124.80,90.16,90.12,-9.52,-29.62,"",""
