# maciexl-1-or (Data loaded from a file)
# 498 data points written for 58 variables.
#
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (mm),CG location (mm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (mm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.223,6.109,6.109,18.908,18.908,98.277,98.278,-0.002,0,0.002,269.978,0.014,0.259,28.61,-80.6,5.844,0,1.49,1.07e-5,89.954,90.012,4231,509,0.469,0.003,9.792,1148,938,2.665,457.955,11.054,0.73,0.627,0.355,0.209,0.062,0.678,1.274,3.394,-4.794e-4,0,0,0,0,0.003,1.967,90.012,14.988,1013,0.001,340.382,0.056,2.057e6,79,50,0.019,0.017,0.002
0.242,7.369,7.369,20.804,20.804,97.98,97.98,-0.003,0,0.003,269.978,0.019,0.21,28.61,-80.6,5.214,0,2.235,5.302e-5,89.954,90.012,4226,504,0.467,0.003,9.792,1155,938,2.76,456.344,11.027,0.87,0.627,0.355,0.209,0.062,0.669,1.114,3.069,-2.818e-4,0,0,0,0,0.005,1.948,90.012,14.985,1013,0.001,340.38,0.061,2.261e6,79,50,0.029,0.018,0.003
0.271,9.482,9.482,23.636,23.636,97.526,97.526,-0.003,-2.742e-8,0.003,269.978,0.023,0.082,28.61,-80.6,4.412,0,3.38,3.778e-5,89.84,90.012,4219,497,0.466,0.003,9.792,1164,937,2.885,453.927,10.986,1.103,0.627,0.355,0.209,0.063,0.659,0.921,2.649,-2.094e-4,0,0,0,0,0.009,1.922,90.012,14.981,1013,0.001,340.378,0.07,2.566e6,79,50,0.024,0.019,0.003
0.295,11.417,11.417,25.955,25.955,97.147,97.147,-0.007,-6.22e-8,0.007,269.978,0.024,0.078,28.61,-80.6,3.896,0,4.469,5.689e-6,89.725,90.012,4214,492,0.464,0.003,9.792,1171,936,2.978,451.94,10.953,1.315,0.627,0.355,0.21,0.063,0.652,0.792,2.345,-3.842e-4,0,0,0,0,0.014,1.9,90.012,14.977,1013,0.001,340.375,0.076,2.816e6,79,50,0.036,0.019,0.003
0.331,14.662,14.662,29.406,29.406,96.02,96.021,-0.01,-1.491e-7,0.01,269.978,0.015,0.424,28.61,-80.6,3.094,0,6.131,6.154e-5,89.553,90.012,4206,483,0.462,0.003,9.792,1180,935,3.116,446.672,10.846,1.664,0.627,0.355,0.21,0.063,0.644,0.615,1.896,-1.154e-4,0,0,0,0,0.02,1.833,90.012,14.971,1013,0.001,340.371,0.087,3.188e6,79,50,0.048,0.019,0.004
0.379,19.685,19.685,34.004,34.004,94.473,94.479,-0.01,-3.586e-7,0.01,269.978,0.021,1.081,28.61,-80.6,2.235,0,8.422,-1.245e-5,89.21,90.012,4194,472,0.459,0.003,9.792,1192,934,3.285,439.556,10.702,2.197,0.628,0.355,0.21,0.063,0.636,0.425,1.367,-3.683e-4,0,0,0,0,0.028,1.762,90.012,14.961,1013,0.001,340.365,0.1,3.684e6,79,50,0.05,0.02,0.004
0.429,25.65,25.65,38.688,38.688,92.895,92.916,2.832e-5,-6.512e-7,2.833e-5,91.329,0.096,1.975,28.61,-80.6,1.432,0,10.6,5.349e-4,88.751,90.012,4183,461,0.456,0.003,9.792,1203,932,3.441,432.471,10.557,2.822,0.628,0.355,0.211,0.063,0.632,0.271,0.898,-4.141e-4,0,0,0,0,0.034,1.741,90.012,14.949,1012,0.001,340.358,0.114,4.19e6,79,50,0.036,0.02,0.005
0.465,30.413,30.413,42.012,42.012,91.735,91.776,0.016,-9.688e-7,0.016,90.012,0.181,2.727,28.61,-80.6,0.974,-3.351e-7,11.918,9.563e-4,88.35,90.012,4175,453,0.453,0.003,9.792,1210,931,3.54,427.37,10.453,3.319,0.628,0.354,0.211,0.063,0.63,0.184,0.614,-4.058e-4,0,0,0,0,0.037,1.782,90.012,14.94,1012,0.001,340.352,0.124,4.549e6,79,50,0.05,0.021,0.005
0.515,37.68,37.68,46.529,46.53,88.949,89.032,0.059,-1.857e-6,0.059,90.012,0.344,3.83,28.61,-80.6,0.458,-4.445e-7,13.178,0.002,87.72,90.012,4164,442,0.451,0.003,9.792,1218,930,3.661,415.577,10.191,4.065,0.629,0.354,0.211,0.063,0.629,0.086,0.278,-3.765e-4,0,0,0,0,0.037,1.915,90.012,14.925,1012,0.001,340.344,0.137,5.038e6,79,50,0.034,0.021,0.006
0.549,43.038,43.038,49.521,49.523,87.029,87.152,0.105,-2.857e-6,0.105,90.012,0.488,4.62,28.61,-80.6,0.115,-4.358e-7,13.579,0.006,87.261,90.012,4157,435,0.448,0.003,9.792,1224,929,3.745,407.558,10.012,4.604,0.629,0.354,0.212,0.064,0.629,0.022,0.046,9.457e-5,0,0,0,0,0.034,2.003,90.012,14.915,1012,0.001,340.337,0.146,5.362e6,79,50,0.05,0.022,0.006
0.599,51.516,51.516,53.843,53.849,85.874,86.076,0.207,-4.997e-6,0.207,90.012,0.751,5.9,28.61,-80.6,0.458,-3.834e-7,-12.892,0.001,86.574,90.012,4147,425,0.446,0.003,9.792,1218,928,3.691,402.901,9.923,5.451,0.63,0.354,0.212,0.064,0.631,0.086,0.343,-4.493e-4,0,0,0,0,-0.026,2.025,90.012,14.898,1011,0.001,340.327,0.158,5.829e6,79,50,0.034,0.022,0.007
0.633,57.684,57.684,56.749,56.758,85.07,85.334,0.302,-6.775e-6,0.302,90.012,0.965,6.71,28.61,-80.6,0.802,0,-11.516,9.672e-4,86.173,90.012,4140,417,0.444,0.003,9.792,1213,927,3.637,399.734,9.861,6.068,0.631,0.354,0.212,0.064,0.632,0.148,0.555,-8.378e-5,0,0,0,0,-0.019,2.043,90.012,14.886,1011,0.001,340.32,0.167,6.143e6,79,50,0.05,0.023,0.007
0.683,67.339,67.339,60.932,60.946,82.226,82.575,0.489,-9.331e-6,0.489,90.012,1.324,7.579,28.61,-80.6,1.203,-1.461e-6,-7.85,8.778e-4,85.657,90.012,4129,407,0.441,0.003,9.792,1207,926,3.573,388.289,9.602,7.019,0.631,0.354,0.213,0.064,0.634,0.228,0.82,-1.519e-4,0,0,0,0,-0.008,1.984,90.012,14.867,1011,0.001,340.308,0.179,6.595e6,79,50,0.036,0.026,0.008
0.719,74.708,74.708,63.855,63.875,80.183,80.574,0.659,-1.087e-5,0.659,90.012,1.604,7.932,28.61,-80.6,1.432,-1.145e-6,-4.011,7.655e-4,85.428,90.012,4122,400,0.439,0.003,9.792,1204,925,3.551,380.049,9.415,7.724,0.632,0.354,0.213,0.065,0.635,0.263,0.937,-6.502e-5,0,0,0,0,-0.002,1.901,90.012,14.852,1011,0.001,340.299,0.188,6.91e6,79,50,0.034,0.027,0.008
0.753,82.021,82.021,66.575,66.601,78.963,79.37,0.856,-1.164e-5,0.856,90.012,1.878,8.027,28.61,-80.6,1.432,-1.332e-6,0.229,0.002,85.371,90.012,4116,393,0.437,0.003,9.792,1204,924,3.557,375.163,9.309,8.404,0.632,0.354,0.214,0.065,0.636,0.269,0.958,-2.526e-4,0,0,0,0,5.4e-6,1.819,90.012,14.837,1010,0.001,340.29,0.196,7.204e6,79,50,0.031,0.027,0.009
0.784,88.832,88.832,68.976,69.009,77.891,78.283,1.056,-1.146e-5,1.056,90.012,2.121,7.816,28.61,-80.6,1.318,-1.069e-6,4.24,0.003,85.428,90.012,4110,388,0.435,0.003,9.792,1206,923,3.59,370.786,9.214,9.018,0.633,0.354,0.214,0.065,0.636,0.245,0.878,-7.113e-6,0,0,0,0,0.002,1.774,90.012,14.824,1010,0.001,340.282,0.203,7.463e6,79,50,0.019,0.028,0.009
0.803,93.222,93.222,70.465,70.502,77.229,77.597,1.194,-1.072e-5,1.194,90.012,2.269,7.548,28.61,-80.6,1.203,-9.924e-7,6.646,0.003,85.543,90.012,4106,384,0.434,0.003,9.792,1208,923,3.622,368.042,9.154,9.407,0.633,0.353,0.214,0.065,0.636,0.219,0.79,2.797e-4,0,0,0,0,0.004,1.744,90.012,14.815,1010,0.001,340.277,0.207,7.623e6,79,50,0.029,0.028,0.009
0.832,99.984,99.984,72.67,72.713,75.904,76.222,1.421,-8.415e-6,1.421,90.012,2.478,6.947,28.61,-80.6,0.917,-1.466e-6,9.912,0.003,85.772,90.012,4101,378,0.432,0.003,9.792,1212,922,3.68,362.549,9.029,9.994,0.633,0.353,0.215,0.065,0.635,0.17,0.618,2.444e-4,0,0,0,0,0.008,1.682,90.012,14.802,1010,0.001,340.269,0.214,7.861e6,79,50,0.039,0.029,0.009
0.871,109.58,109.58,75.628,75.677,74.102,74.327,1.755,-2.61e-6,1.755,90.012,2.73,5.78,28.61,-80.6,0.401,-2.193e-6,12.949,0.006,86.23,90.012,4093,371,0.43,0.003,9.792,1220,921,3.799,355.027,8.858,10.811,0.634,0.353,0.215,0.066,0.634,0.071,0.256,4.488e-5,0,0,0,0,0.013,1.7,90.012,14.783,1009,0.001,340.257,0.223,8.179e6,79,50,0.016,0.029,0.01
0.887,113.52,113.52,76.791,76.842,73.379,73.566,1.9,6.129e-7,1.9,90.012,2.817,5.24,28.61,-80.6,0.115,-2.191e-6,13.465,0.017,86.459,90.012,4090,368,0.43,0.003,9.792,1224,921,3.856,352.02,8.789,11.145,0.634,0.353,0.215,0.066,0.634,0.025,0.082,4.752e-4,0,0,0,0,0.014,1.743,90.012,14.775,1009,0.001,340.253,0.226,8.305e6,79,50,0.024,0.03,0.01
0.911,119.547,119.547,78.518,78.573,72.716,72.854,2.123,6.45e-6,2.123,90.012,2.932,4.467,28.61,-80.6,0.229,-2.231e-6,-13.235,0.011,86.803,90.012,4086,364,0.428,0.003,9.792,1223,920,3.85,349.292,8.73,11.659,0.635,0.353,0.216,0.066,0.635,0.037,0.155,2.045e-4,0,0,0,0,-0.013,1.769,90.012,14.763,1009,0.001,340.245,0.231,8.491e6,79,50,0.035,0.03,0.01
0.946,128.835,128.835,81.08,81.138,71.699,71.78,2.474,1.752e-5,2.474,90.012,3.071,3.415,28.61,-80.6,0.63,-1.758e-6,-11.115,0.004,87.204,90.012,4080,358,0.426,0.003,9.792,1217,919,3.779,345.201,8.641,12.451,0.635,0.353,0.216,0.066,0.636,0.111,0.429,-1.06e-4,0,0,0,0,-0.009,1.739,90.012,14.745,1009,0.001,340.234,0.239,8.765e6,79,50,0.027,0.031,0.01
0.973,136.07,136.07,82.996,83.056,70.911,70.965,2.749,2.763e-5,2.749,90.012,3.154,2.769,28.61,-80.6,0.859,-1.978e-6,-8.193,0.003,87.491,90.012,4075,353,0.425,0.003,9.792,1213,919,3.744,342.102,8.574,13.065,0.636,0.353,0.217,0.066,0.637,0.153,0.578,1.972e-4,0,0,0,0,-0.004,1.715,90.012,14.73,1008,0.001,340.226,0.244,8.971e6,79,50,0.032,0.031,0.011
1.005,144.846,144.846,85.226,85.288,69.339,69.375,3.081,4.124e-5,3.081,90.012,3.233,2.245,28.61,-80.6,0.974,-1.876e-6,-3.724,0.003,87.663,90.012,4069,347,0.423,0.002,9.792,1211,918,3.725,335.918,8.43,13.794,0.636,0.353,0.217,0.066,0.638,0.181,0.674,-1.039e-4,0,0,0,0,-8.67e-4,1.696,90.012,14.713,1008,0.001,340.215,0.251,9.209e6,79,50,0.026,0.032,0.011
1.031,152.123,152.123,86.996,87.058,68.054,68.085,3.356,5.318e-5,3.356,90.012,3.288,2.059,28.61,-80.6,1.031,-1.224e-6,0.458,0.003,87.72,90.012,4065,343,0.422,0.002,9.792,1211,917,3.727,330.908,8.313,14.382,0.637,0.353,0.217,0.067,0.639,0.187,0.697,-3.23e-4,0,0,0,0,1.413e-5,1.729,90.012,14.699,1008,0.001,340.206,0.256,9.399e6,79,50,0.024,0.032,0.011
1.054,158.996,158.996,88.605,88.668,66.856,66.89,3.615,6.447e-5,3.615,90.012,3.337,2.126,28.61,-80.6,0.974,-1.319e-6,4.469,0.002,87.663,90.012,4061,339,0.421,0.002,9.792,1212,917,3.748,326.269,8.205,14.919,0.637,0.353,0.218,0.067,0.639,0.174,0.651,3.011e-4,0,0,0,0,0.001,1.758,90.012,14.685,1008,0.001,340.198,0.261,9.571e6,79,50,0.003,0.032,0.011
1.057,159.747,159.747,88.778,88.841,66.725,66.76,3.645,6.568e-5,3.645,90.012,3.343,2.148,28.61,-80.6,0.917,-1.319e-6,4.87,0.002,87.663,90.012,4060,338,0.421,0.002,9.792,1212,917,3.751,325.767,8.193,14.976,0.637,0.353,0.218,0.067,0.639,0.171,0.641,1.732e-4,0,0,0,0,0.001,1.76,90.012,14.684,1008,0.001,340.197,0.261,9.59e6,79,50,0.004,0.033,0.011
1.061,160.876,160.876,89.036,89.099,66.503,66.539,3.688,6.755e-5,3.688,90.012,3.351,2.184,28.61,-80.6,0.917,-1.317e-6,5.5,0.002,87.605,90.012,4060,338,0.421,0.002,9.792,1212,917,3.757,324.909,8.173,15.063,0.637,0.353,0.218,0.067,0.639,0.167,0.626,-4.383e-4,0,0,0,0,0.002,1.762,90.012,14.681,1007,0.001,340.196,0.262,9.617e6,79,50,0.006,0.033,0.011
1.067,162.579,162.579,89.422,89.485,66.17,66.208,3.75,7.031e-5,3.75,90.012,3.364,2.249,28.61,-80.6,0.859,-1.324e-6,6.417,0.003,87.605,90.012,4059,337,0.42,0.002,9.792,1213,917,3.766,323.621,8.143,15.192,0.637,0.353,0.218,0.067,0.639,0.16,0.6,-2.531e-5,0,0,0,0,0.002,1.767,90.012,14.678,1007,0.001,340.194,0.263,9.659e6,79,50,0.009,0.034,0.011
1.075,165.144,165.144,89.996,90.06,65.668,65.711,3.848,7.441e-5,3.848,90.012,3.384,2.371,28.61,-80.6,0.802,-1.338e-6,7.678,0.002,87.548,90.012,4057,335,0.42,0.002,9.792,1214,916,3.781,321.689,8.097,15.385,0.637,0.353,0.218,0.067,0.639,0.148,0.555,4.461e-4,0,0,0,0,0.003,1.773,90.012,14.673,1007,0.001,340.191,0.265,9.72e6,79,50,0.013,0.034,0.012
1.088,169.022,169.022,90.85,90.914,64.913,64.965,3.993,8.058e-5,3.993,90.012,3.416,2.6,28.61,-80.6,0.688,-1.357e-6,9.454,0.002,87.433,90.012,4055,333,0.419,0.002,9.792,1216,916,3.808,318.792,8.028,15.674,0.638,0.352,0.218,0.067,0.639,0.126,0.474,-2.649e-4,0,0,0,0,0.005,1.783,90.012,14.665,1007,0.001,340.186,0.267,9.811e6,79,50,0.02,0.035,0.012
1.108,174.911,174.911,92.112,92.178,63.774,63.846,4.216,8.976e-5,4.216,90.012,3.472,3.036,28.61,-80.6,0.458,-1.528e-6,11.574,0.003,87.204,90.012,4052,330,0.418,0.002,9.792,1219,916,3.855,314.446,7.925,16.106,0.638,0.352,0.218,0.067,0.638,0.087,0.328,-3.069e-4,0,0,0,0,0.007,1.796,90.012,14.653,1007,0.001,340.179,0.271,9.946e6,79,50,0.029,0.035,0.012
