# maciexl-1-or (Data loaded from a file)
# 498 data points written for 58 variables.
#
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (mm),CG location (mm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (mm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90.012,0,0,0,90.012,0,4277,555,0.481,0.003,9.792,NaN,944,NaN,0,0,0,0.776,0.505,0.209,0.062,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.232,90.012,15,1013,0.001,340.389,0.007,2.416e5,79,50,0.01,0.003,0
0.01,2.452e-4,2.452e-4,0.039,0.039,14.28,14.28,-1.742e-6,0,1.742e-6,269.978,1.327e-4,0.016,28.61,-80.6,88.98,0,0,0,90.012,0,4276,554,0.481,0.003,9.792,NaN,944,NaN,102.934,2.458,1.501e-7,0.776,0.505,0.209,0.062,1.014e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.229,90.012,15,1013,0.001,340.389,0.007,2.413e5,79,50,0.01,0.005,4.961e-6
0.02,0.007,0.007,0.302,0.302,38.364,38.364,-8.711e-6,0,8.711e-6,269.978,2.925e-4,0.016,28.61,-80.6,82.277,0,0,0,90.012,0,4275,553,0.481,0.003,9.792,NaN,944,NaN,205.869,4.918,6.61e-5,0.775,0.504,0.209,0.062,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.225,90.012,15,1013,0.001,340.389,0.007,2.431e5,79,50,0.01,0.005,3.866e-5
0.03,0.023,0.023,0.806,0.806,62.46,62.46,-2.101e-5,0,2.101e-5,269.978,4.602e-4,0.018,28.61,-80.6,70.073,0,0,0,90.012,0,4274,552,0.48,0.003,9.792,NaN,943,NaN,308.803,7.379,0.001,0.769,0.498,0.209,0.062,0.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.222,90.012,15,1013,0.001,340.389,0.007,2.558e5,79,50,0.011,0.006,1.032e-4
# Event LIFTOFF occurred at t=0.041 seconds
0.041,0.066,0.066,1.639,1.639,88.979,88.979,-4.144e-5,0,4.144e-5,269.978,6.817e-4,0,28.61,-80.6,53.514,0,0,0,90.012,0,4273,551,0.48,0.003,9.792,NaN,943,NaN,422.031,10.087,0.007,0.752,0.481,0.209,0.062,0.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.219,90.012,15,1013,0.001,340.389,0.008,2.985e5,79,50,0.01,0.007,2.098e-4
0.051,0.135,0.135,2.533,2.533,89.769,89.769,-6.378e-5,0,6.378e-5,269.978,6.817e-4,0,28.61,-80.6,41.138,0,0,0,90.012,0,4270,548,0.479,0.003,9.792,NaN,943,NaN,425.194,10.168,0.019,0.731,0.46,0.209,0.062,0.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.214,90.012,15,1013,0.001,340.389,0.01,3.64e5,79,50,0.01,0.007,3.243e-4
0.061,0.233,0.233,3.434,3.434,90.558,90.558,-8.615e-5,0,8.615e-5,269.978,6.817e-4,0,28.61,-80.6,32.544,0,0,0,90.012,0,4268,546,0.479,0.003,9.792,NaN,943,NaN,428.356,10.249,0.037,0.712,0.441,0.209,0.062,0.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.191,90.012,15,1013,0.001,340.389,0.012,4.409e5,79,50,0.01,0.008,4.397e-4
0.071,0.361,0.361,4.344,4.344,91.348,91.348,-1.085e-4,0,1.085e-4,269.978,6.817e-4,0,28.61,-80.6,26.528,0,0,0,90.012,0,4266,544,0.478,0.003,9.792,NaN,943,NaN,431.519,10.33,0.058,0.696,0.425,0.209,0.062,0.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.168,90.012,14.999,1013,0.001,340.388,0.014,5.254e5,79,50,0.01,0.008,5.562e-4
0.081,0.518,0.518,5.261,5.261,92.137,92.137,-1.309e-4,0,1.309e-4,269.978,6.817e-4,0,28.61,-80.6,22.173,0,0,0,90.012,0,4264,542,0.478,0.003,9.792,NaN,942,NaN,434.681,10.411,0.083,0.682,0.411,0.209,0.062,0.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.145,90.012,14.999,1013,0.001,340.388,0.017,6.149e5,79,50,0.01,0.009,6.736e-4
0.091,0.705,0.705,6.187,6.187,92.927,92.927,-1.532e-4,0,1.532e-4,269.978,6.817e-4,0,28.61,-80.6,18.908,0,0,0,90.012,0,4261,539,0.477,0.003,9.792,NaN,942,NaN,437.844,10.493,0.111,0.67,0.399,0.209,0.062,0.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.122,90.012,14.999,1013,0.001,340.388,0.019,7.079e5,79,50,0.01,0.009,7.921e-4
0.101,0.922,0.922,7.12,7.12,93.716,93.716,-1.756e-4,0,1.756e-4,269.978,6.817e-4,0,28.61,-80.6,16.444,0,0,0,90.012,0,4259,537,0.476,0.003,9.792,NaN,942,NaN,441.007,10.574,0.141,0.66,0.389,0.209,0.062,0.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,90.012,14.998,1013,0.001,340.388,0.022,8.034e5,79,50,0.01,0.01,9.116e-4
0.111,1.171,1.171,8.061,8.061,94.506,94.506,-1.98e-4,0,1.98e-4,269.978,6.817e-4,0,28.61,-80.6,14.553,0,0,0,90.012,0,4257,535,0.476,0.003,9.792,NaN,941,NaN,444.169,10.655,0.173,0.651,0.38,0.209,0.062,0.836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09,90.012,14.998,1013,0.001,340.387,0.024,9.013e5,79,50,0.01,0.011,0.001
0.121,1.453,1.453,9.01,9.01,95.297,95.297,-2.203e-4,0,2.203e-4,269.978,6.817e-4,0,28.61,-80.6,13.006,0,0,0,90.012,0,4255,533,0.475,0.003,9.792,NaN,941,NaN,447.332,10.737,0.206,0.644,0.372,0.209,0.062,0.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.079,90.012,14.997,1013,0.001,340.387,0.027,1.001e6,79,50,0.004,0.012,0.001
0.125,1.572,1.572,9.392,9.392,95.613,95.613,-2.293e-4,0,2.293e-4,269.978,6.817e-4,0,28.61,-80.6,12.433,0,0,0,90.012,0,4254,532,0.475,0.003,9.792,NaN,941,NaN,448.597,10.77,0.22,0.641,0.369,0.209,0.062,0.799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.075,90.012,14.997,1013,0.001,340.387,0.028,1.041e6,79,50,0.006,0.012,0.001
0.131,1.765,1.765,9.966,9.966,95.816,95.816,-2.427e-4,0,2.427e-4,269.978,6.817e-4,0,28.61,-80.6,11.746,0,0,0,90.012,0,4252,530,0.475,0.003,9.792,NaN,941,NaN,449.333,10.791,0.242,0.637,0.365,0.209,0.062,0.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,90.012,14.997,1013,0.001,340.387,0.03,1.102e6,79,50,0.009,0.013,0.001
0.14,2.07,2.07,10.83,10.83,96.121,96.121,-2.628e-4,0,2.628e-4,269.978,6.817e-4,0,28.61,-80.6,10.772,0,0,0,90.012,0,4250,528,0.474,0.003,9.792,NaN,941,NaN,450.438,10.823,0.276,0.631,0.36,0.209,0.062,0.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.059,90.012,14.996,1013,0.001,340.386,0.032,1.193e6,79,50,0.009,0.013,0.001
0.149,2.411,2.411,11.719,11.719,96.433,96.433,-2.835e-4,0,2.835e-4,269.978,6.817e-4,0,28.61,-80.6,9.912,0,0,0,90.012,0,4248,526,0.473,0.003,9.792,NaN,940,NaN,451.571,10.855,0.313,0.626,0.355,0.209,0.062,0.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05,90.012,14.995,1013,0.001,340.386,0.035,1.288e6,79,50,0.009,0.014,0.002
0.158,2.753,2.753,12.543,12.543,96.72,96.72,-3.026e-4,0,3.026e-4,269.978,6.817e-4,0,28.61,-80.6,9.225,0,0,0,90.012,0,4246,524,0.473,0.003,9.792,NaN,940,NaN,452.618,10.886,0.352,0.626,0.355,0.209,0.062,0.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.04,90.012,14.995,1013,0.001,340.386,0.037,1.375e6,79,50,0.008,0.014,0.002
0.166,3.091,3.091,13.315,13.315,96.989,96.989,-3.204e-4,0,3.204e-4,269.978,6.817e-4,0,28.61,-80.6,8.652,0,0,0,90.012,0,4244,522,0.472,0.003,9.792,NaN,940,NaN,453.597,10.914,0.391,0.626,0.355,0.209,0.062,0.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.03,90.012,14.994,1013,0.001,340.385,0.04,1.458e6,79,50,0.008,0.015,0.002
# Event LAUNCHROD occurred at t=0.173 seconds
0.173,3.428,3.428,14.044,14.044,97.241,97.242,-3.373e-4,0,3.373e-4,269.978,6.817e-4,0.272,28.61,-80.6,8.193,0,0,0,90.012,0,4243,520,0.472,0.003,9.792,1125,940,2.357,454.519,10.941,0.429,0.626,0.355,0.209,0.062,0.715,1.912,4.508,3.27e-4,0,0,0,0,0,2.021,90.012,14.993,1013,0.001,340.385,0.042,1.536e6,79,50,0.011,0.015,0.002
0.185,3.967,3.967,15.142,15.142,97.62,97.62,-4.199e-4,0,4.199e-4,269.978,0.004,0.282,28.61,-80.6,7.563,0,0.286,2.395e-6,90.012,90.012,4240,518,0.471,0.003,9.792,1131,939,2.438,455.901,10.981,0.489,0.626,0.355,0.209,0.062,0.704,1.727,4.209,-4.78e-4,0,0,0,0,1.807e-4,2.008,90.012,14.992,1013,0.001,340.384,0.045,1.653e6,79,50,0.017,0.016,0.002
0.201,4.852,4.852,16.796,16.796,98.187,98.187,-7.638e-4,0,7.638e-4,269.978,0.009,0.283,28.61,-80.6,6.704,0,0.802,3.494e-5,90.012,90.012,4236,514,0.47,0.003,9.792,1139,939,2.546,457.975,11.041,0.589,0.626,0.355,0.209,0.062,0.691,1.499,3.815,7.952e-5,0,0,0,0,0.001,1.988,90.012,14.99,1013,0.001,340.383,0.05,1.83e6,79,50,0.009,0.016,0.002
0.21,5.338,5.338,17.641,17.641,98.474,98.474,-0.001,0,0.001,269.978,0.011,0.277,28.61,-80.6,6.36,0,1.089,2.4e-5,89.954,90.012,4234,512,0.47,0.003,9.792,1143,939,2.596,459.029,11.072,0.643,0.626,0.355,0.209,0.062,0.686,1.402,3.638,4.187e-4,0,0,0,0,0.002,1.979,90.012,14.989,1013,0.001,340.382,0.052,1.921e6,79,50,0.013,0.017,0.002
